Product code,Bureau of Meteorology station number,Year,Month,Day,Maximum temperature (Degree C),Days of accumulation of maximum temperature,Quality
IDCJAC0010,066062,2018,07,12,19.5,1,N
IDCJAC0010,066062,2018,07,13,18.4,1,N
IDCJAC0010,066062,2018,07,14,17.5,1,N
IDCJAC0010,066062,2018,07,15,17.2,1,N
IDCJAC0010,066062,2018,07,16,17.8,1,N
IDCJAC0010,066062,2018,07,17,22.3,1,N
IDCJAC0010,066062,2018,07,18,21.5,1,N
IDCJAC0010,066062,2018,07,19,20.4,1,N
IDCJAC0010,066062,2018,07,20,19.4,1,N
IDCJAC0010,066062,2018,07,21,18.6,1,N
IDCJAC0010,066062,2018,07,22,16.9,1,N
IDCJAC0010,066062,2018,07,23,20.5,1,N
IDCJAC0010,066062,2018,07,24,23.9,1,N
IDCJAC0010,066062,2018,07,25,22.7,1,N
IDCJAC0010,066062,2018,07,26,20.6,1,N
IDCJAC0010,066062,2018,07,27,20.8,1,N
IDCJAC0010,066062,2018,07,28,20.6,1,N
IDCJAC0010,066062,2018,07,29,24.5,1,N
IDCJAC0010,066062,2018,07,30,19.9,1,N
IDCJAC0010,066062,2018,07,31,21.3,1,N
IDCJAC0010,066062,2018,08,01,21.8,1,N
IDCJAC0010,066062,2018,08,02,17.5,1,N
IDCJAC0010,066062,2018,08,03,23.4,1,N
IDCJAC0010,066062,2018,08,04,20.3,1,N
IDCJAC0010,066062,2018,08,05,19.2,1,N
IDCJAC0010,066062,2018,08,06,19.0,1,N
